ID,Godzina rozpoczêcia,Godzina ukoñczenia,Adres e-mail,Nazwa,Czas ostatniej modyfikacji,"Masz jakiœ pomys³ na projekt data? Napisz nam o tym. Je¿eli to nie ten moment, pozostaw puste pole.",W jaki sposób chcesz uczestniczyæ w Community?,Programming: R,Programming: Python,Programming: Bash,Version Control: GIT,Containers: Docker,"CLI: (np. Bash, PowerShell, CMD)","Front End: (HTML, JavaScript, CSS)",Databases: SQL,Databases: NoSQL,Cloud: Azure,Cloud: AWS,Cloud: GPC,BI: PowerBI,BI: Tableau,Area: Time Series,"Area: Classical ML (Clustering, Regression, Classification)",Area: NLP,Area: Computer Vision,Project Management,Promocja w Social Media,Ux/Ui,Projektowanie graficzne,Nawi¹zywanie Relacji z Biznesem,Nawi¹zywanie Relacji z naukowcami,Pozyskiwanie finansowania,Wspó³praca z administracj¹ UEW,"Je¿eli jest obszar, na którym siê znasz i chcesz go wykorzystaæ, dopisz go:",FinTech,HealthTech,FashionTech,E-commerce,SportTech,Non-profit,PropTech (nieruchomoœci),Cybersecurity,HR,"Je¿eli pominiêto bran¿ê, na której siê znasz dopisz j¹:"
12,3/5/24 16:39:56,3/5/24 16:53:41,anonymous,,,Stworzyæ projekt zwi¹zany z blockchainem Flare który dostarcza dane na temat innych blockchainów i internetu. Dodatkowo ten projekt ma uruchomiony program grantów. Tutaj link do strony Flare= > https://flare.network/,Chcê uczestniczyæ w projekcie data,0,2,0,3,0,1,3,2,2,2,2,2,2,0,0,0,0,0,2,2,2,1,2,2,2,0,,2,2,2,3,2,2,2,2,2,
13,3/5/24 15:43:47,3/5/24 16:54:44,anonymous,,,"Projekt aplikacji lub strony internetowej która robi analizê statystyczn¹ danych z messengera (kto najwiêcej pisze, najpopularniejsze reakcje/s³owa/wiadomoœci, historia nicków itp.). Ogólnie co siê wymyœli mo¿na zrobiæ. To by³aby pierwsza czêœæ projektu, taka bardziej praca na danych i ich wizualizacja.

Drug¹ by³aby czêœæ zwi¹zana z du¿ymi modelami jêzykowymi. Na przyk³ad analiza sentymentu wiadomoœci (pozytywne, neutralne, negatywne), przewidywanie kolejnych wiadomoœci, stworzenie bota danej osoby poprzez uczenie modelu jak pisa³a wczeœniej. 

Dane z messengera mo¿na pobraæ z Facebooka, wystarczy wype³niæ zg³oszenie (sam to zrobi³em i wykona³em kilka analiz). Ogólnie myœlê ¿e ten projekt mo¿e byæ dobrym wprowadzeniem do modeli jêzykowych, jak równie¿ samej analizy danych.
 
Na plus ¿e jest bardzo modularny, czyli mo¿emy go rozbudowywaæ tak d³uga jak bêdziemy mieæ nowe pomys³y na analizê (moim dodatkowym jest zrobienie coœ w stylu Spotify wrapped, które pokazuje twoje statystyki z ca³ego roku na przestrzeni wszystkich wiadomoœci, albo roczne  podsumowanie grupki). 
Drugi plus jest taki ¿e danych które bêdziemy analizowaæ jest bardzo du¿o (tylko w moim przypadku mam grupê na messengerze która ma ponad milion wiadomoœci), i s¹ bardzo ró¿norodne (ka¿dy pisze z ka¿dym trochê inaczej, jest slang itp.) 
A poza tym czy ka¿dy nie chcia³by znaæ ciekawych statystyk w³asnej grupki?
Co do bezpieczeñstwa danych, bo s¹ to w koñcu prywatne konwersacje, przetwarzanie i analiza bêdzie siê odbywa³a lokalnie, a nie na jakimœ serwerze.
 ",Chcê uczestniczyæ w projekcie data,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,,3,2,2,2,2,2,2,1,1,
14,3/5/24 17:06:31,3/5/24 17:14:39,anonymous,,,,Chcê uczestniczyæ w projekcie data,0,2,0,1,0,0,0,4,1,0,0,0,3,1,1,0,0,0,1,0,1,2,0,0,0,0,"Excel, SQL, PowerBI",0,1,0,2,0,0,0,0,0,
15,3/5/24 17:15:44,3/5/24 17:19:06,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,3,3,2,1,2,1,1,1,Umiem bardzo dobrze rozplanowaæ obowi¹zki swoje i osób z którymi mia³em przyjemnoœæ wspó³pracowaæ :D,2,2,1,3,2,3,1,2,1,
16,3/5/24 17:31:01,3/5/24 17:35:31,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,,1,0,0,1,0,0,1,0,1,
17,3/5/24 17:34:15,3/5/24 17:39:13,anonymous,,,dopasowanie kandydatów do ofert pracy - liczenie scoringu na podstawie umiejêtnoœci i chêci rozwoju,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",4,4,3,4,4,3,3,3,3,3,3,4,2,3,4,4,4,2,4,2,3,1,4,4,3,3,,3,2,2,4,2,3,2,2,3,
18,3/5/24 17:28:17,3/5/24 17:40:24,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,2,0,0,0,1,1,2,2,0,0,0,2,2,0,0,0,0,1,1,2,3,2,2,2,2,,0,0,0,0,0,0,0,0,0,
19,3/5/24 17:29:14,3/5/24 18:13:38,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,2,2,3,2,2,2,3,2,2,0,0,0,0,0,3,2,0,1,1,2,2,1,2,1,1,,0,0,0,0,0,0,0,0,0,
20,3/5/24 18:22:43,3/5/24 18:29:08,anonymous,,,"Jako ¿e zajmujê siê g³ównie SQL-em moim pomys³em jest zrobienie czegoœ w stylu generatora kodu SQL-a przy wykorzystaniu rekurencyjnych CTE, dziêki czemu po³¹czenia miêdzy tabelami w relacyjnej bazie danych mog¹ zostaæ wykorzystane do utworzenia czegoœ na zasadzie bazy grafowej. Póki co jest to bardziej wizja ni¿ jakiœ powa¿ny pomys³ - zak³adam, ¿e mo¿e byæ bezu¿yteczny, bior¹c pod uwagê, ¿e to SQL.",Chcê uczestniczyæ w projekcie data,1,3,1,1,1,1,1,4,3,3,1,1,3,3,1,3,2,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,
21,3/5/24 18:29:19,3/5/24 18:32:03,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,,2,2,0,2,0,2,0,2,1,
22,3/5/24 19:37:40,3/5/24 19:40:19,anonymous,,,,Chcê uczestniczyæ w projekcie data,3,2,0,0,0,0,2,3,2,2,2,2,3,2,0,0,0,0,2,2,0,0,0,0,0,0,,0,0,0,2,0,0,0,2,0,
23,3/5/24 20:34:39,3/5/24 20:38:04,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",1,2,1,2,1,1,2,3,2,2,1,2,2,2,1,1,1,1,2,3,2,2,3,2,2,3,,2,1,2,2,1,1,2,1,2,
24,3/5/24 21:36:40,3/5/24 21:38:50,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",2,3,2,2,2,2,1,4,2,2,2,2,4,2,2,2,2,2,3,3,1,1,4,2,3,3,,2,2,2,2,2,2,2,2,2,
25,3/5/24 21:46:44,3/5/24 21:50:02,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",2,3,3,3,2,3,3,3,3,2,2,2,3,2,2,3,2,2,3,1,2,2,1,1,1,1,,2,3,2,2,1,2,2,3,1,
26,3/5/24 22:03:45,3/5/24 22:09:02,anonymous,,,"Mam du¿o pomys³ów pod k¹tem biznesowym, ale wymagaj¹ konfrontacji z technicznymi ludŸmi","Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,3,1,1,1,3,2,2,2,"Umiem pisaæ strategie. biznesowe, szybko wykrywam potencjalne szanse/zagro¿enia, umiem wspó³pracowaæ i ³atwo nawi¹zujê kontakty",2,2,2,2,3,1,1,2,1,Sam pisa³em te bran¿e
27,3/6/24 0:08:44,3/6/24 0:28:04,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,2,0,2,1,1,1,3,2,2,2,2,2,2,0,0,0,0,1,1,1,1,3,3,1,1,,2,2,2,3,3,1,2,2,1,
28,3/6/24 1:42:48,3/6/24 1:50:18,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,3,3,3,2,3,3,3,2,3,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,"Programowanie C++, tworzenie gier / scen w silniku Unreal Engine 5",2,1,1,2,1,1,1,2,1,
29,3/6/24 9:23:18,3/6/24 9:31:23,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",2,2,2,2,2,2,1,3,2,2,2,2,3,2,0,2,2,2,2,2,1,3,3,2,3,2,,3,2,2,2,2,2,2,2,2,
30,3/6/24 9:54:43,3/6/24 9:59:40,anonymous,,,,Chcê uczestniczyæ w projekcie data,4,3,2,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,1,1,1,1,3,1,3,Wizualizacja danych w R w tym shiny,3,1,0,2,1,2,1,1,1,Dane przestrzenne
31,3/6/24 10:27:54,3/6/24 10:45:59,anonymous,,,,Chcê uczestniczyæ w projekcie data,1,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,0,2,3,1,2,2,2,2,2,2,,0,0,0,2,0,0,0,0,0,
32,3/6/24 11:34:56,3/6/24 11:37:24,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,1,1,2,2,2,4,,2,2,2,2,1,4,1,2,4,
33,3/6/24 12:04:57,3/6/24 12:07:39,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,3,2,2,2,2,1,3,2,2,2,2,4,2,2,2,2,2,2,1,1,1,2,2,2,1,,2,2,2,1,2,1,2,2,1,
34,3/6/24 12:07:02,3/6/24 12:12:43,anonymous,,,"Mo¿e nie konkretny projekt, ale w przypadku jakiegoœ fajnego modelu chcia³bym stworzyæ œrodowisko Docker - owe b¹dŸ chmurowe. Spróbowaæ wyjœæ poza zakres tylko programowanie, ale tak¿e jak nasz kod wprowadziæ w ¿ycie z naszymi œrodkami.",Chcê uczestniczyæ w projekcie data,1,3,3,3,3,3,1,3,3,3,2,2,2,1,3,2,2,2,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
35,3/6/24 15:38:50,3/6/24 15:42:54,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",1,2,0,0,0,0,0,3,2,3,1,1,4,1,2,2,1,1,4,1,1,1,3,1,1,2,,1,1,1,3,1,1,1,1,1,"bran¿a energetyczna, produkcja"
36,3/6/24 17:18:44,3/6/24 17:21:57,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",0,2,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,3,3,3,3,3,3,3,3,,2,2,2,2,2,3,2,2,3,
37,3/6/24 18:06:40,3/6/24 18:13:43,anonymous,,,,Chcê uczestniczyæ w projekcie data,1,2,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,1,1,0,1,2,2,2,1,,2,2,1,1,1,1,2,2,1,
38,3/6/24 18:04:56,3/6/24 18:19:59,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",4,2,2,4,3,3,2,3,2,2,2,2,1,1,0,0,2,2,3,2,2,2,2,2,2,1,"CI/CD, gitlab, dobre praktyki programistyczne: clean code, TDD, BDD, Agile - tak w stopniu 3",2,2,0,1,0,2,0,2,1,
39,3/6/24 19:15:27,3/6/24 19:15:56,anonymous,,,,"Póki co chcê czerpaæ, obserwowaæ, ""konsumowaæ content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3/6/24 19:48:41,3/6/24 19:48:50,anonymous,,,,"Póki co chcê czerpaæ, obserwowaæ, ""konsumowaæ content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3/6/24 20:01:41,3/6/24 20:06:34,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",2,3,2,2,2,2,2,3,2,1,3,0,3,1,0,0,0,0,2,3,1,1,2,2,2,1,,0,2,0,1,2,0,2,2,1,
42,3/7/24 7:25:17,3/7/24 7:35:02,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",3,3,1,2,2,1,1,3,2,2,2,2,3,2,0,2,2,0,2,2,1,1,2,1,1,1,,2,1,1,2,2,1,2,1,1,
43,3/7/24 16:25:15,3/7/24 16:39:06,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",2,2,0,2,0,0,2,3,2,2,0,0,3,2,3,2,2,2,1,2,1,1,2,2,1,2,,0,0,0,0,0,0,0,0,0,
44,3/7/24 16:59:44,3/7/24 17:04:41,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,2,0,0,0,1,2,3,2,2,1,2,2,2,1,1,1,1,3,4,2,3,3,3,3,2,,2,2,3,3,2,2,1,2,2,
45,3/7/24 23:20:19,3/7/24 23:25:46,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,1,1,1,2,2,2,1,
46,3/7/24 23:55:51,3/8/24 0:00:06,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,2,0,2,0,0,1,2,2,2,2,2,3,1,0,0,0,0,1,1,0,1,1,1,1,1,,2,2,2,2,2,1,1,1,1,
47,3/8/24 8:26:00,3/8/24 8:39:45,anonymous,,,"Jest wiele platform agreguj¹cych og³oszenia z portali online, pozwalaj¹ one na filtrowanie np. ofert prywatnych, tych wystawionych przez biura poœrednictwa czy nawet komornika lub syndyka. Wszystkie tego typu platformy zapewniaj¹ bogate opcje filtrowania ale ¿adna z nich nie „œledzi” obecnie panuj¹cych trendów. 
Proponujê stworzenie oprogramowania zbieraj¹cego oferty z rynku ale poza zwyk³ym filtrowaniem (wielkoœæ, iloœæ pokoi, cena za m2, itd.) skupiaj¹ca siê na wyszukiwaniu okazji w danych lokalizacjach. 
Docelowym odbiorc¹ mog³yby byæ osoby fizyczne chc¹ce kupiæ nieruchomoœæ do remontu poni¿ej ceny rynkowej. 
Celem projektowym by³oby stworzenie oprogramowania, które w pierwszej kolejnoœci musia³oby stworzyæ bazê uszeregowanych ofert nieruchomoœci po czym w ramach œciœle okreœlonych parametrów wy³oniæ rokuj¹ce na okazje inwestycyjne. 

To na ten moment bardzo luŸny pomys³ i musia³bym go jeszcze przemyœleæ/przedyskutowaæ :) ","Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",0,2,0,2,0,0,2,2,1,2,2,2,1,1,0,0,0,0,2,0,2,1,2,2,2,0,,0,0,0,0,0,0,3,2,0,
48,3/8/24 13:43:55,3/8/24 13:46:14,anonymous,,,,Chcê uczestniczyæ w projekcie data,3,3,2,2,0,0,1,3,2,2,2,2,3,2,0,0,0,0,2,1,1,1,2,1,2,1,,2,2,1,2,2,1,2,2,1,
49,3/9/24 8:14:37,3/9/24 8:20:24,anonymous,,,,Chcê uczestniczyæ w projekcie data,1,2,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,,2,2,2,2,2,2,2,2,2,
50,3/9/24 14:20:17,3/9/24 14:23:58,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",2,3,0,0,0,2,2,3,3,2,1,1,3,2,0,0,0,0,3,1,1,2,2,1,1,1,,1,3,1,1,2,2,2,1,2,
51,3/9/24 19:57:00,3/9/24 20:00:27,anonymous,,,,Chcê uczestniczyæ w projekcie data,1,4,3,4,4,4,3,3,3,2,2,3,1,1,2,2,3,3,3,2,2,2,2,2,2,1,,1,4,0,1,1,1,0,1,0,
52,3/9/24 20:49:04,3/9/24 20:54:44,anonymous,,,,Chcê uczestniczyæ w projekcie data,3,2,0,0,0,0,0,3,2,2,2,2,2,2,0,0,0,0,2,1,1,1,2,1,1,1,,0,0,0,0,0,0,0,0,0,
53,3/10/24 16:31:07,3/10/24 16:35:29,anonymous,,,,Chcê uczestniczyæ w projekcie data,2,2,0,2,1,0,2,3,2,2,2,1,3,2,2,2,2,2,1,1,1,1,1,1,1,1,DataViz,3,2,2,2,2,2,2,1,2,Finance
54,3/11/24 19:38:54,3/11/24 19:42:08,anonymous,,,,Chcê uczestniczyæ w projekcie data,3,2,0,0,0,0,0,3,0,2,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,,0,0,1,2,2,1,1,1,1,
55,3/13/24 9:28:54,3/13/24 9:35:55,anonymous,,,"Analizy, modele ML w sporcie, a w szczególnoœci pi³ka no¿na. Popularny temat ostatnio w akademiach pi³karskich wielkich klubów - wykorzystywanie Big Daty do weryfikowania wstêpnych umiejêtnoœci przysz³ych m³odych zawodników z ca³ego œwiata. Nic nie weryfikowa³em z dostêpnoœci¹ danych, luŸny temat. ",Chcê uczestniczyæ w projekcie data,1,3,1,2,2,1,2,3,2,3,2,1,2,2,1,2,2,2,2,1,2,1,2,2,1,1,,2,2,1,1,2,1,2,2,1,
56,3/15/24 7:11:47,3/15/24 7:12:01,anonymous,,,,"Póki co chcê czerpaæ, obserwowaæ, ""konsumowaæ content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3/15/24 10:36:44,3/15/24 10:40:03,anonymous,,,Mnóstwo computer vision,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,defense
58,3/15/24 20:41:43,3/15/24 20:53:12,anonymous,,,"Pseudo klon portalu Bumbeo. Baza danych zawieraj¹ce informacje na temat œrednich zarobków w ró¿nych krajach, kosztów ¿ycia i innych danych. Z t¹ ró¿nic¹, ¿e dane nie pochodzi³yby od u¿ytkowników, tylko z gotowych Ÿróde³ danych (urzêdowe bazy statystyczne itp.). Nie musi byæ taka sama tematyka jak na numbeo, ale wykonuj¹c taki projekt mo¿na by trochê siê podszkoliæ bazodanowo/scrappowo, a przy tym mo¿e stworzyæ coœ ciekawego dla innych.",Chcê uczestniczyæ w projekcie data,1,2,2,2,2,2,1,2,2,2,2,2,3,1,0,2,2,2,1,1,1,1,1,1,1,1,"Rozbijanie z³o¿onych tematów na mniejsze obszary i definiowanie rzeczy do zrobienia, kategoryzowanie oraz wizualizacje w ramach map myœli. // Wykorzystywanie jêzyków obcych w praktyce (np. wsparcie przy komunikacji podczas nawi¹zywanie, któreœ z wy¿ej wymienionych relacji).",2,2,2,2,1,1,1,2,1,SSC i BPO / Automotive
59,3/18/24 19:40:09,3/18/24 19:48:37,anonymous,,,Biblioteka do analizy grafów oparta na zapytaniach sql,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",2,4,4,4,3,4,0,4,4,0,3,0,1,1,3,4,4,3,3,1,2,1,3,3,1,1,,4,3,0,1,1,1,1,3,1,"Insurance, Debt Collection, OperationsTech, Intelligence"
60,3/25/24 15:50:03,3/25/24 15:50:19,anonymous,,,,"Póki co chcê czerpaæ, obserwowaæ, ""konsumowaæ content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3/25/24 18:28:32,3/25/24 18:31:47,anonymous,,,,Chcê uczestniczyæ w projekcie data,1,2,0,2,0,0,0,4,0,0,0,0,3,2,2,2,2,0,1,1,0,0,2,2,1,1,,0,0,0,0,0,0,0,0,0,produkcja FMCG
62,3/26/24 9:52:57,3/26/24 9:57:41,anonymous,,,Swarm wirtualnych asystentów do pisania kodu w oparciu i wymagania biznesowe i human in the loop,"Chcê organizowaæ ""¿ycie"" Community",,,,,,,,,,,,,,,,,,,2,1,1,1,2,1,2,1,"AWS, OpenAI, LLMs, RAGs, Python, Go, Infrastructure as a Code, DevOps, MLOps",3,3,1,2,1,1,0,3,1,
63,4/3/24 15:24:10,4/3/24 15:33:56,anonymous,,,Mam pomys³ lecz doœæ ogólny. Pomys³ polegana wsparciu procesu researchu.,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",2,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,3,2,3,2,2,2,3,2,3,2,,3,2,2,3,2,3,2,2,2,
64,4/3/24 19:14:10,4/3/24 19:18:22,anonymous,,,,"Chcê uczestniczyæ w projekcie data i organizowaæ ""¿ycie"" Community",1,3,2,3,2,2,1,3,2,3,2,3,4,1,1,1,1,1,1,2,2,1,2,2,2,2,,2,2,1,1,2,2,1,2,0,
65,4/8/24 10:31:25,4/8/24 10:32:10,anonymous,,,,"Póki co chcê czerpaæ, obserwowaæ, ""konsumowaæ content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4/8/24 21:45:20,4/8/24 21:46:43,anonymous,,,"Czeœæ, bardzo chcia³abym mieæ taki pomys³, jednak jestem dopiero pocz¹tkuj¹ca. Myœle, ¿e z samej obserwacji te¿ siê du¿o nauczê.","Póki co chcê czerpaæ, obserwowaæ, ""konsumowaæ content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4/14/24 18:29:20,4/14/24 18:33:23,anonymous,,,,Chcê uczestniczyæ w projekcie data,4,4,1,2,2,1,1,4,3,1,1,1,3,1,3,4,3,2,1,1,1,1,1,1,1,1,,3,1,1,1,2,1,1,1,1,
